label,source,toi,tid,target_id,period,depth,duration,kepid
1,TOI_Candidate,1212.01,389924075.0,TIC389924075,105.5850893,462.9116325,11.6068811,
1,TOI_Candidate,1214.01,451606970.0,TIC451606970,19.1807264,544.5602695,3.9621084,
1,TOI_Candidate,1215.01,453260209.0,TIC453260209,1.2124493,501.2911711,0.9984653,
1,TOI_Candidate,1216.01,141527965.0,TIC141527965,4.5541831,187.8286128,7.8146963,
1,TOI_Candidate,1217.01,248092710.0,TIC248092710,41.4856125,959.7522291,6.6899368,
1,TOI_Candidate,1218.01,294781547.0,TIC294781547,13.7738265,338.2166234,2.9992376,
1,TOI_Candidate,1219.01,294981566.0,TIC294981566,1.9142544,248.0,3.256,
1,TOI_Candidate,122.01,231702397.0,TIC231702397,5.0780325,5923.1283069,1.2100353,
1,TOI_Candidate,1221.01,349095149.0,TIC349095149,91.6827832,713.2183569,9.7504857,
1,TOI_Candidate,1222.01,374997123.0,TIC374997123,10.1944993,317.3261147,2.2648785,
1,TOI_Candidate,1224.01,299798795.0,TIC299798795,4.1782656,2537.6781602,1.675904,
1,TOI_Candidate,1224.02,299798795.0,TIC299798795,17.9453645,5480.684864,3.0740072,
1,TOI_Candidate,1225.01,150428703.0,TIC150428703,13.896396,748.5332881,3.5885605,
1,TOI_Candidate,1225.02,150428703.0,TIC150428703,8.1213102,594.6443745,3.1040945,
1,TOI_Candidate,1226.01,177115354.0,TIC177115354,3.9287851,485.9762569,1.8165271,
1,TOI_Candidate,1227.01,360156606.0,TIC360156606,27.3613778,20690.6684294,4.0586418,
1,TOI_Candidate,1228.01,300038935.0,TIC300038935,29.0497517,318.0,7.117,
1,TOI_Candidate,123.01,290131778.0,TIC290131778,3.3088922,4736.0,6.114,
1,TOI_Candidate,1230.01,287156968.0,TIC287156968,25.0571312,533.486013,7.5424225,
1,TOI_Candidate,1252.01,233211762.0,TIC233211762,1.1219715,3997.6445916,0.8226121,
1,TOI_Candidate,1255.01,237222864.0,TIC237222864,10.288886,854.0,1.391,
1,TOI_Candidate,1257.01,278348461.0,TIC278348461,5.4526479,7750.0,3.401,
1,TOI_Candidate,1258.01,288132261.0,TIC288132261,10.2613397,726.0,4.855,
1,TOI_Candidate,1259.01,288735205.0,TIC288735205,3.4779776,27021.6932424,2.5103489,
1,TOI_Candidate,126.01,70440470.0,TIC70440470,3.0354017,16196.2158157,2.8809533,
1,TOI_Candidate,1260.01,355867695.0,TIC355867695,3.1274634,1331.83693,1.9812695,
1,TOI_Candidate,1260.02,355867695.0,TIC355867695,7.4931613,1650.6470497,1.9339295,
1,TOI_Candidate,1260.03,355867695.0,TIC355867695,49.825166,2059.4069037,3.8714976,
1,TOI_Candidate,1261.01,356311210.0,TIC356311210,18.0574016,1198.0572128,3.592177,
1,TOI_Candidate,1262.01,365938305.0,TIC365938305,20.8774413,771.0,3.562,
1,TOI_Candidate,1263.01,406672232.0,TIC406672232,1.0214555,319.0,1.252,
1,TOI_Candidate,1264.01,416195870.0,TIC416195870,2.7441672,5650.0,1.418,
1,TOI_Candidate,1265.01,424865156.0,TIC424865156,2.2047452,6872.0,3.996,
1,TOI_Candidate,1266.01,467179528.0,TIC467179528,10.8948421,3168.3853584,2.0719394,
1,TOI_Candidate,1266.02,467179528.0,TIC467179528,18.8016111,1686.7881033,1.9093524,
1,TOI_Candidate,1267.01,158561566.0,TIC158561566,6.7900981,2158.1733568,6.0786576,
1,TOI_Candidate,1268.01,142394656.0,TIC142394656,8.157721,10273.0,3.788,
1,TOI_Candidate,1269.01,198241702.0,TIC198241702,4.2529641,758.584999,2.5733867,
1,TOI_Candidate,1269.02,198241702.0,TIC198241702,9.2378703,660.0,2.535,
1,TOI_Candidate,127.01,234523599.0,TIC234523599,3.7955178,52278.9940979,2.0198135,
1,TOI_Candidate,1271.01,286923464.0,TIC286923464,6.1349783,3860.0,5.661,
1,TOI_Candidate,1272.01,417948359.0,TIC417948359,3.3159772,2770.0,1.494,
1,TOI_Candidate,1273.01,445859771.0,TIC445859771,4.6313014,4860.0,1.435,
1,TOI_Candidate,1274.01,459969957.0,TIC459969957,19.3203478,13910.0,4.215,
1,TOI_Candidate,1277.02,153949511.0,TIC153949511,14.8559691,1127.0,3.711,
1,TOI_Candidate,1278.01,163539739.0,TIC163539739,14.4751062,9618.5798534,1.6182484,
1,TOI_Candidate,1279.01,224297258.0,TIC224297258,9.6141636,933.6532689,3.4271882,
1,TOI_Candidate,128.01,391949880.0,TIC391949880,4.9404714,455.0,1.954,
1,TOI_Candidate,1280.01,230017324.0,TIC230017324,9.6926392,1838.2370548,3.0182304,
1,TOI_Candidate,1281.01,232971294.0,TIC232971294,6.390888,435.0,3.766,
1,TOI_Candidate,1282.01,236445129.0,TIC236445129,0.9689927,13532.9710157,2.5496309,
